identifier,year,team,total_signings,avg_length,total_spend,avg_age,pt_percentage
2014DAL,2014,Dallas Stars,2,3.5000000000000000,6000000.00,27.7000000000000000,0.555
2014DET,2014,Detroit Red Wings,4,2.0000000000000000,11687500.00,28.0250000000000000,0.567
2014EDM,2014,Edmonton Oilers,4,2.7500000000000000,14400000.00,26.3250000000000000,0.409
2014FLA,2014,Florida Panthers,5,3.2000000000000000,20583333.00,28.5000000000000000,0.402
2014LAK,2014,Los Angeles Kings,0,0,0,0,0.610
2014MIN,2014,Minnesota Wild,2,3.0000000000000000,9166667.00,26.1000000000000000,0.598
2014MTL,2014,Montréal Canadiens,2,3.0000000000000000,6300000.00,28.2500000000000000,0.610
2014NJD,2014,New Jersey Devils,1,5.0000000000000000,5000000.00,32.0000000000000000,0.537
2014NSH,2014,Nashville Predators,2,3.0000000000000000,5000000.00,29.4500000000000000,0.537
2014NYI,2014,New York Islanders,2,4.0000000000000000,9187500.00,29.1500000000000000,0.482
2014NYR,2014,New York Rangers,3,2.6666666666666667,13050000.00,30.5000000000000000,0.585
2014OTT,2014,Ottawa Senators,3,2.6666666666666667,9225000.00,28.7333333333333333,0.537
2014PHI,2014,Philadelphia Flyers,0,0,0,0,0.573
2014PIT,2014,Pittsburgh Penguins,3,1.6666666666666667,9500000.00,27.6666666666666667,0.665
2014SJS,2014,San Jose Sharks,1,2.0000000000000000,3400000.00,26.0000000000000000,0.677
2014STL,2014,St. Louis Blues,3,2.6666666666666667,11950000.00,27.4333333333333333,0.677
2014TBL,2014,Tampa Bay Lightning,2,4.0000000000000000,6500000.00,28.7000000000000000,0.616
2014TOR,2014,Toronto Maple Leafs,4,2.7500000000000000,12650000.00,28.5500000000000000,0.512
2014VAN,2014,Vancouver Canucks,3,2.0000000000000000,13000000.00,30.4666666666666667,0.506
2014WAS,2014,Washington Capitals,2,6.0000000000000000,11250000.00,30.6500000000000000,0.549
2014WPG,2014,Winnipeg Jets,2,2.0000000000000000,6300000.00,26.3500000000000000,0.512
2015ANA,2015,Anaheim Ducks,2,4.0000000000000000,7750000.00,25.7500000000000000,0.665
2015ARI,2015,Arizona Coyotes,4,2.0000000000000000,12783333.00,30.3000000000000000,0.341
2015BOS,2015,Boston Bruins,2,4.0000000000000000,6100000.00,26.3000000000000000,0.585
2015BUF,2015,Buffalo Sabres,1,2.0000000000000000,3325000.00,27.8000000000000000,0.329
2015CAR,2015,Carolina Hurricanes,0,0,0,0,0.433
2015CBJ,2015,Columbus Blue Jackets,2,4.5000000000000000,8200000.00,24.1000000000000000,0.543
2015CGY,2015,Calgary Flames,2,4.0000000000000000,6500000.00,26.2500000000000000,0.591
2015CHI,2015,Chicago Blackhawks,0,0,0,0,0.622
2015COL,2015,Colorado Avalanche,2,3.0000000000000000,6900000.00,32.1500000000000000,0.549
2015DAL,2015,Dallas Stars,1,2.0000000000000000,3750000.00,33.8000000000000000,0.561
2015DET,2015,Detroit Red Wings,2,2.0000000000000000,10000000.00,32.4500000000000000,0.610
2015EDM,2015,Edmonton Oilers,2,3.5000000000000000,9400000.00,26.9500000000000000,0.378
2015FLA,2015,Florida Panthers,1,2.0000000000000000,3250000.00,22.0000000000000000,0.555
2015LAK,2015,Los Angeles Kings,0,0,0,0,0.579
2015MIN,2015,Minnesota Wild,1,2.0000000000000000,3000000.00,23.3000000000000000,0.610
2015MTL,2015,Montréal Canadiens,1,2.0000000000000000,2800000.00,21.3000000000000000,0.671
2015NJD,2015,New Jersey Devils,1,6.0000000000000000,4166667.00,22.6000000000000000,0.476
2015NSH,2015,Nashville Predators,4,3.2500000000000000,13687500.00,30.2500000000000000,0.634
2015NYI,2015,New York Islanders,2,3.0000000000000000,4700000.00,25.0000000000000000,0.616
2015NYR,2015,New York Rangers,1,6.0000000000000000,6500000.00,25.0000000000000000,0.689
2015OTT,2015,Ottawa Senators,1,1.00000000000000000000,2000000.00,25.6000000000000000,0.604
2015PHI,2015,Philadelphia Flyers,0,0,0,0,0.512
2015PIT,2015,Pittsburgh Penguins,1,3.0000000000000000,2000000.00,29.8000000000000000,0.598
2015SJS,2015,San Jose Sharks,2,3.5000000000000000,8125000.00,34.4000000000000000,0.543
2015STL,2015,St. Louis Blues,2,5.0000000000000000,9850000.00,24.1500000000000000,0.665
2015TBL,2015,Tampa Bay Lightning,1,2.0000000000000000,2250000.00,30.2000000000000000,0.659
2015TOR,2015,Toronto Maple Leafs,3,1.3333333333333333,10550000.00,26.2666666666666667,0.415
2015VAN,2015,Vancouver Canucks,0,0,0,0,0.616
2015WAS,2015,Washington Capitals,3,1.6666666666666667,10000000.00,27.1666666666666667,0.616
2015WPG,2015,Winnipeg Jets,0,0,0,0,0.604
2016ANA,2016,Anaheim Ducks,2,6.0000000000000000,9050000.00,22.7500000000000000,0.628
2016ARI,2016,Arizona Coyotes,6,2.3333333333333333,21658333.00,29.1833333333333333,0.476
2016BOS,2016,Boston Bruins,2,3.0000000000000000,8250000.00,33.9000000000000000,0.567
2016BUF,2016,Buffalo Sabres,3,4.6666666666666667,13650000.00,24.8666666666666667,0.494
2016CAR,2016,Carolina Hurricanes,2,4.0000000000000000,6500000.00,28.3000000000000000,0.524
2016CBJ,2016,Columbus Blue Jackets,0,0,0,0,0.463
2016CGY,2016,Calgary Flames,2,5.5000000000000000,10875000.00,26.2500000000000000,0.470
2016CHI,2016,Chicago Blackhawks,1,1.00000000000000000000,2250000.00,37.1000000000000000,0.628
2016COL,2016,Colorado Avalanche,3,2.3333333333333333,10000000.00,28.0666666666666667,0.500
2016DAL,2016,Dallas Stars,2,1.5000000000000000,5750000.00,32.9500000000000000,0.665
2016DET,2016,Detroit Red Wings,4,3.7500000000000000,16850000.00,28.7750000000000000,0.567
2016EDM,2016,Edmonton Oilers,2,4.0000000000000000,9100000.00,28.6000000000000000,0.427
2016FLA,2016,Florida Panthers,2,5.0000000000000000,7900000.00,28.1000000000000000,0.628
2016LAK,2016,Los Angeles Kings,0,0,0,0,0.622
2016MIN,2016,Minnesota Wild,2,2.5000000000000000,6150000.00,26.8000000000000000,0.530
2016MTL,2016,Montréal Canadiens,1,1.00000000000000000000,5750000.00,29.9000000000000000,0.500
2016NJD,2016,New Jersey Devils,2,4.0000000000000000,7316667.00,28.8500000000000000,0.512
2016NSH,2016,Nashville Predators,1,2.0000000000000000,6000000.00,24.8000000000000000,0.585
2016NYI,2016,New York Islanders,3,3.6666666666666667,10250000.00,30.2000000000000000,0.610
2016NYR,2016,New York Rangers,3,2.6666666666666667,9975000.00,24.1666666666666667,0.616
2016OTT,2016,Ottawa Senators,2,3.0000000000000000,7987500.00,24.5500000000000000,0.518
2016PHI,2016,Philadelphia Flyers,2,4.0000000000000000,7475000.00,26.3000000000000000,0.585
2016PIT,2016,Pittsburgh Penguins,0,0,0,0,0.634
2016SJS,2016,San Jose Sharks,1,4.0000000000000000,4000000.00,26.5000000000000000,0.598
2016STL,2016,St. Louis Blues,1,5.0000000000000000,5350000.00,24.0000000000000000,0.652
2016TBL,2016,Tampa Bay Lightning,2,5.0000000000000000,9216667.00,24.9000000000000000,0.591
2016TOR,2016,Toronto Maple Leafs,2,2.5000000000000000,4750000.00,28.6500000000000000,0.421
2016VAN,2016,Vancouver Canucks,1,6.0000000000000000,6000000.00,30.9000000000000000,0.457
2016WAS,2016,Washington Capitals,2,2.0000000000000000,7333333.00,25.3000000000000000,0.732
2016WPG,2016,Winnipeg Jets,2,2.0000000000000000,5125000.00,25.3000000000000000,0.476
2017ANA,2017,Anaheim Ducks,1,2.0000000000000000,2000000.00,36.9000000000000000,0.640
2017ARI,2017,Arizona Coyotes,0,0,0,0,0.427
2017BOS,2017,Boston Bruins,2,3.5000000000000000,9491667.00,23.2500000000000000,0.579
2017BUF,2017,Buffalo Sabres,3,1.3333333333333333,8900000.00,27.1333333333333333,0.476
2017CAR,2017,Carolina Hurricanes,1,2.0000000000000000,4500000.00,35.7000000000000000,0.530
2017CBJ,2017,Columbus Blue Jackets,1,6.0000000000000000,4900000.00,22.8000000000000000,0.659
2017CGY,2017,Calgary Flames,0,0,0,0,0.573
2017CHI,2017,Chicago Blackhawks,0,0,0,0,0.665
2017COL,2017,Colorado Avalanche,2,1.5000000000000000,4900000.00,25.5000000000000000,0.293
2017DAL,2017,Dallas Stars,3,3.6666666666666667,13200000.00,28.2000000000000000,0.482
2017DET,2017,Detroit Red Wings,2,3.5000000000000000,8466667.00,30.1500000000000000,0.482
2017EDM,2017,Edmonton Oilers,1,8.0000000000000000,8500000.00,21.7000000000000000,0.628
2017FLA,2017,Florida Panthers,2,2.0000000000000000,5233333.00,30.7000000000000000,0.494
2017LAK,2017,Los Angeles Kings,0,0,0,0,0.524
2017MIN,2017,Minnesota Wild,3,4.0000000000000000,13875000.00,25.3000000000000000,0.646
2017MTL,2017,Montréal Canadiens,2,4.0000000000000000,9525000.00,26.0500000000000000,0.628
2017NJD,2017,New Jersey Devils,1,2.0000000000000000,2750000.00,32.5000000000000000,0.427
2017NSH,2017,Nashville Predators,3,6.3333333333333333,16350000.00,26.1000000000000000,0.573
2017NYI,2017,New York Islanders,1,1.00000000000000000000,3300000.00,26.1000000000000000,0.573
2017NYR,2017,New York Rangers,2,4.5000000000000000,12000000.00,26.3000000000000000,0.622
2017OTT,2017,Ottawa Senators,2,2.0000000000000000,5350000.00,30.2000000000000000,0.598
2017PHI,2017,Philadelphia Flyers,1,2.0000000000000000,2750000.00,32.2000000000000000,0.537
2017PIT,2017,Pittsburgh Penguins,4,3.7500000000000000,14850000.00,27.4500000000000000,0.677
2017SJS,2017,San Jose Sharks,3,1.3333333333333333,23000000.00,33.7333333333333333,0.604
2017STL,2017,St. Louis Blues,1,5.0000000000000000,5500000.00,24.1000000000000000,0.604
2017TBL,2017,Tampa Bay Lightning,4,3.7500000000000000,15300000.00,31.0250000000000000,0.573
2017TOR,2017,Toronto Maple Leafs,4,3.0000000000000000,13600000.00,30.6000000000000000,0.579
2017VAN,2017,Vancouver Canucks,5,2.8000000000000000,16150000.00,27.5200000000000000,0.421
2017WAS,2017,Washington Capitals,2,5.0000000000000000,10800000.00,23.7000000000000000,0.720
2017WPG,2017,Winnipeg Jets,3,2.0000000000000000,10683333.00,26.6333333333333333,0.530
2018ANA,2018,Anaheim Ducks,2,2.5000000000000000,5987500.00,23.4000000000000000,0.616
2018ARI,2018,Arizona Coyotes,1,3.0000000000000000,3350000.00,30.7000000000000000,0.427
2018BOS,2018,Boston Bruins,2,3.5000000000000000,5500000.00,30.3500000000000000,0.683
2018BUF,2018,Buffalo Sabres,2,2.5000000000000000,6400000.00,27.5500000000000000,0.378
2018CAR,2018,Carolina Hurricanes,2,3.0000000000000000,6850000.00,27.0000000000000000,0.506
2018CBJ,2018,Columbus Blue Jackets,4,2.7500000000000000,11825000.00,25.5250000000000000,0.591
2018CGY,2018,Calgary Flames,4,5.0000000000000000,18675000.00,26.8250000000000000,0.512
2018CHI,2018,Chicago Blackhawks,2,1.5000000000000000,5250000.00,31.1500000000000000,0.463
2018COL,2018,Colorado Avalanche,3,2.3333333333333333,9600000.00,28.0333333333333333,0.579
2018DAL,2018,Dallas Stars,3,1.6666666666666667,7100000.00,27.1666666666666667,0.561
2018DET,2018,Detroit Red Wings,5,2.6000000000000000,18400000.00,26.7400000000000000,0.445
2018EDM,2018,Edmonton Oilers,3,1.6666666666666667,8300000.00,24.5333333333333333,0.476
2018FLA,2018,Florida Panthers,0,0,0,0,0.585
2018LAK,2018,Los Angeles Kings,1,3.0000000000000000,6250000.00,35.2000000000000000,0.598
2018MIN,2018,Minnesota Wild,2,5.0000000000000000,11500000.00,25.1500000000000000,0.616
2018MTL,2018,Montréal Canadiens,2,2.0000000000000000,5333333.00,30.5000000000000000,0.433
2018NJD,2018,New Jersey Devils,1,4.0000000000000000,2750000.00,22.8000000000000000,0.591
2018NSH,2018,Nashville Predators,0,0,0,0,0.713
2018NYI,2018,New York Islanders,5,2.4000000000000000,14500000.00,29.0600000000000000,0.488
2018NYR,2018,New York Rangers,5,2.6000000000000000,20700000.00,25.4800000000000000,0.470
2018OTT,2018,Ottawa Senators,1,1.00000000000000000000,4300000.00,24.5000000000000000,0.409
2018PHI,2018,Philadelphia Flyers,1,5.0000000000000000,7000000.00,29.1000000000000000,0.598
2018PIT,2018,Pittsburgh Penguins,2,4.0000000000000000,5387500.00,28.4500000000000000,0.610
2018SJS,2018,San Jose Sharks,3,2.3333333333333333,13562500.00,29.2000000000000000,0.610
2018STL,2018,St. Louis Blues,2,2.0000000000000000,8000000.00,28.6000000000000000,0.573
2018TBL,2018,Tampa Bay Lightning,0,0,0,0,0.689
2018TOR,2018,Toronto Maple Leafs,2,6.5000000000000000,18500000.00,25.0000000000000000,0.640
2018VAN,2018,Vancouver Canucks,4,3.2500000000000000,11692000.00,27.8000000000000000,0.445
2018VGK,2018,Vegas Golden Knights,5,3.4000000000000000,23025000.00,27.5000000000000000,0.665
2018WAS,2018,Washington Capitals,1,6.0000000000000000,5166667.00,24.2000000000000000,0.640
2018WPG,2018,Winnipeg Jets,4,3.0000000000000000,17733334.00,24.4500000000000000,0.695
2019ANA,2019,Anaheim Ducks,0,0,0,0,0.488
2019ARI,2019,Arizona Coyotes,0,0,0,0,0.524
2019BOS,2019,Boston Bruins,3,2.3333333333333333,10550000.00,22.6666666666666667,0.652
2019BUF,2019,Buffalo Sabres,3,1.6666666666666667,9350000.00,26.7666666666666667,0.463
2019CAR,2019,Carolina Hurricanes,5,3.0000000000000000,21104000.00,26.1400000000000000,0.604
2019CBJ,2019,Columbus Blue Jackets,3,3.0000000000000000,15100000.00,25.8333333333333333,0.598
2019CGY,2019,Calgary Flames,4,2.0000000000000000,15050000.00,25.8000000000000000,0.652
